Mixture,state,B cells naive,B cells memory,Plasma cells,T cells CD8,T cells CD4 naive,T cells CD4 memory resting,T cells CD4 memory activated,T cells follicular helper,T cells regulatory (Tregs),T cells gamma delta,NK cells resting,NK cells activated,Monocytes,Macrophages M0,Macrophages M1,Macrophages M2,Dendritic cells resting,Dendritic cells activated,Mast cells resting,Mast cells activated,Eosinophils,Neutrophils
TCGA-DD-A11C-11A,normal,0.024207653,0,0.043792964,0.137166875,0,0.173822957,0,0,0,0.007249524,0.046304371,0.015947648,0.014876142,0.045631335,0.066598139,0.395197014,0,0,0.022907163,0,0,0.006298215
TCGA-DD-A11D-01A,cancer,0.01847673,0,0,0.064699089,0,0.249359606,0,0,0.100866157,0,0,0.08466497,0.011722449,0.160412436,0.054717846,0.176524659,0.007844346,0,0.070711712,0,0,0
TCGA-DD-A11D-11A,normal,0.07941025,0,0.020386488,0.226493291,0,0.207278018,0,0,0.064127321,0,0,6.84E-05,0.04826329,0.036801327,0.07505129,0.230778401,0,0.000589673,0,0,0,0.010752216
TCGA-DD-A1EB-01A,cancer,0.251173982,0,0.010332748,0.243276454,0,0.080875412,0,0,0.141984084,0,0.043639655,0,0.053996058,0.087839452,0.019443861,0.037682558,0,0,0.029755736,0,0,0
TCGA-DD-A1EB-11A,normal,0.009856651,0,0.020168225,0.255550444,0,0.100771886,0,0.002970968,0.023869337,0.003155687,0.027295958,0,0.070186696,0.043233337,0.068328309,0.33964245,0,0,0.013883079,0,0,0.021086972
TCGA-DD-A1EC-01A,cancer,0.036726397,0,0.016103859,0.232966345,0,0.038001106,0.048609345,0.053788648,0.09274294,0.064058472,0.045603415,0.03748593,0,0.176332368,0.047387669,0.08764201,0,0,0.022551499,0,0,0
TCGA-DD-A1EC-11A,normal,0.054533071,0,0.065035196,0.109892023,0,0,0,0.038083935,0,0.012915573,0.051854793,0,0.026528874,0.048732876,0.054809476,0.470845486,0,0,0,0.059590204,0,0.007178493
TCGA-DD-A1EE-01A,cancer,0.140955437,0,0.006130965,0.019493318,0,0.031884781,0,0,0.090363987,0,0.106350089,0,0.062949428,0.320697945,0.01215851,0.187630351,0,0,0.005990109,0,0.00487925,0.010515831
TCGA-DD-A1EE-11A,normal,0.056942735,0,0.049961724,0.136756015,0,0.170165081,0,0.005768575,0.071530055,0,0.004299498,0.015320846,0.086789936,0.083467823,0.05768805,0.232781269,0,0,0.02592633,0,0,0.002602063
TCGA-DD-A1EG-01A,cancer,0.026244032,0,0.062017214,0.114078456,0,0.058730081,0,0,0.104160891,0,0,0.068873126,0.004324028,0.304016694,0.09038536,0.126919512,0.00587722,0,0.034373387,0,0,0
TCGA-DD-A1EG-11A,normal,0.035056233,0,0.021260125,0.092851432,0,0.106888278,0,0,0.066985762,0.037516901,0,0.041769539,0.075827968,0.134770748,0.097584262,0.243189083,0,0,0,0.036713605,0,0.009586064
TCGA-DD-A1EH-01A,cancer,0.048566592,0,0.049707097,0.11119029,0,0.255177997,0,0,0.052016506,0.000389545,0,0.039480195,0.010543705,0.153322239,0.057201265,0.177560327,0,0,0.040210673,0,0,0.00463357
TCGA-DD-A1EH-11A,normal,0.067192413,0,0.085667121,0.162978588,0,0.140629451,0,0.026536513,0.013709624,0.057962412,0,0.028290654,0.007173496,0.046501817,0.067669705,0.266820057,0,0,0,0.021343621,0,0.007524529
TCGA-DD-A1EI-01A,cancer,0.05673984,0,0.003581832,0.067572639,0,0.219232657,0,0,0.1081416,0,0,0.025191773,0.010970356,0.183974254,0.039903164,0.231834878,0,0,0.046471622,0,0,0.006385386
TCGA-DD-A1EI-11A,normal,0.06289773,0,0.022845371,0.146719751,0,0.224134292,0,0,0.036064594,0,0.024379028,0.015205791,0.074564214,0.100762352,0.051107478,0.210121229,0,0,0.024121775,0,0,0.007076396
TCGA-DD-A1EJ-01A,cancer,0.034759676,0,0.025994342,0.101581552,0,0.081842911,0.008577802,0.001925101,0.085080979,0,0,0.030242978,0.038484011,0.273987701,0.025039963,0.281325405,0,0,0.006820369,0,0,0.004337209
TCGA-DD-A1EJ-11A,normal,0.004660783,0,0.016112336,0.107593729,0,0.082589692,0,0.000881859,0,0.0494875,0,0.038690689,0.077944459,0.188114016,0.066063365,0.310394542,0,0,0,0.051245549,0,0.006221482
TCGA-DD-A1EL-01A,cancer,0.011342867,0,0.005392766,0.056584625,0,0.010787597,0.000157325,0,0.125670373,0,0.07091299,0,0.013784305,0.437630044,0.025199095,0.13523822,0.060596516,0,0.04632304,0,0.000380236,0
TCGA-DD-A1EL-11A,normal,0.039506014,0,0.046695041,0.113044516,0,0.175110737,0,0,0,0.055609248,0,0.018389286,0.011431699,0.097787233,0.083747165,0.317407664,0,0,0.025636198,0,0,0.015635199
