Mixture,state,B cells naive,B cells memory,Plasma cells,T cells CD8,T cells CD4 naive,T cells CD4 memory resting,T cells CD4 memory activated,T cells follicular helper,T cells regulatory (Tregs),T cells gamma delta,NK cells resting,NK cells activated,Monocytes,Macrophages M0,Macrophages M1,Macrophages M2,Dendritic cells resting,Dendritic cells activated,Mast cells resting,Mast cells activated,Eosinophils,Neutrophils
TCGA-ES-A2HT-11A,normal,0.036742074,0,0.08174829,0.126950549,0,0.225176665,0.017184698,0,0.116969597,0,0.012748716,0.011543996,0.031977669,0.075380925,0.072859049,0.179507219,0,0,0.011210553,0,0,0
TCGA-FV-A23B-11A,normal,0.040172768,0,0.085729537,0.149664014,0,0.27084209,0.021818362,0,0.067599893,0,0,0,0.054346174,0.063240419,0.035701082,0.184944996,0,0,0,0.01881585,0,0.007124817
TCGA-FV-A2QR-11A,normal,0.069730252,0,0.024543805,0.170330239,0,0.115251941,0,0,0.028600112,0.046988222,0,0.039622281,0.017872027,0.167919906,0.042122793,0.209099813,0,0,0,0.065275014,0.002643598,0
TCGA-FV-A3I0-11A,normal,0.027158893,0,0,0.000527053,0,0.085197734,0,0.039988778,0.012978547,0.009466255,0.004939047,0.026466991,0.302138831,0.083684131,0.058108158,0.160696668,0,0.018754858,0,0.073912229,0,0.095981828
TCGA-FV-A3I1-11A,normal,0.081818777,0,0.024734655,0.025206762,0,0.176702436,0,0,0.088309581,0.007121278,0.048512961,0.002569757,0.012751841,0.061753402,0.069616678,0.375368449,0,0,0.00871047,0,0,0.016822954
TCGA-FV-A3R2-11A,normal,0.026866834,0,0.004668817,0.180626188,0,0.188226821,0,0.005840664,0.019639948,0.01476591,0.001764446,0.00391052,0.067965914,0.097546397,0.047202451,0.280182375,0,0,0,0.060792715,0,0
TCGA-G3-A3CH-11A,normal,0.051395673,0,0.029386662,0.198388084,0,0.241254946,0,0,0.047275312,0.019484341,0.022270643,0,0.049275739,0.041892736,0.077223158,0.206221153,0,0,0.014408042,0,0,0.001523511
TCGA-BC-A10Q-01A,cancer,0,0.009129068,0.036277192,0.188003096,0,0.118316434,0,0,0.051574152,0,0,0.071110959,0.138822586,0.121073958,0,0.203681635,0.006219282,0.0162702,0.039521438,0,0,0
TCGA-BC-A10R-01A,cancer,0.039510958,0,0.031160588,0.157652009,0,0.107779026,0,0,0.038131044,0,0.022265109,0.007812458,0.042004897,0.126806179,0.041853704,0.366738417,0,0,0.017253066,0,0,0.001032545
TCGA-BC-A10T-01A,cancer,0.086827474,0,0.017857993,0.197085283,0,0.2133635,0,0,0.023310871,0,0,0.05004727,0.019372182,0.111678271,0.047677589,0.169187638,0.03673679,0,0.026855137,0,0,0
TCGA-BC-A10U-01A,cancer,0.046038573,0,0,0.018209515,0,0.168249209,0,0.000500319,0.092975888,0.031695713,0,0.053670765,0.00990261,0.155429865,0.039430437,0.323611035,0,0,0.060286071,0,0,0
TCGA-BC-A10W-01A,cancer,0.028584296,0,0,0.09508297,0,0.119350302,0.001195683,0.016908297,0.068897409,0,0,0.037262625,0.101500235,0.161603084,3.16E-05,0.264573074,0.070092062,0.009386507,0.025531882,0,0,0
TCGA-BC-A10X-01A,cancer,0.080841282,0,0.019610661,0.092506175,0,0.239615282,0,0,0.021874819,0,0.009551346,0.013859153,0.066885601,0.07150983,0.059534478,0.31308628,0,0,0.011125092,0,0,0
TCGA-BC-A10Y-01A,cancer,0,0.007389281,0.030756297,0.165846053,0,0.298026894,0,0.013495279,0.069752532,0,0.032286679,0.046367955,0.027889705,0,0.026217031,0.176539486,0,0.069185219,0.032710004,0,0,0.003537586
TCGA-BC-A10Z-01A,cancer,0.116176878,0,0,0.202021287,0,0,0,0.023971015,0.09300993,0,0,0.071712357,0,0.088844609,0.07386117,0.191759867,0,0.064999525,0.073643361,0,0,0
TCGA-BC-A110-01A,cancer,0.01122431,0,0.074147921,0.075633969,0,0.205073073,0.015117334,0,0.053999551,0,0.005937528,0.007863643,0.218637077,0.056966382,0.043560824,0.203821764,0,0,0.023779713,0,0,0.004236911
TCGA-BC-A216-01A,cancer,0,0,0.022911579,0.536665846,0,0,0.163900994,0.021645814,0.073721416,0,0.093295137,0,0.017661947,0.029669871,0.004472741,0.036054655,0,0,0,0,0,0
TCGA-BD-A2L6-01A,cancer,0.046780236,0,0,0.192757008,0,0.244532096,0.027741154,0,0.119107908,0,0.061376139,0,0.029732805,0.083003756,0.060741707,0.124471594,0,0,0.009755598,0,0,0
TCGA-BD-A3EP-01A,cancer,0.094730352,0.033678163,0.063840411,0.116652557,0,0.244077514,0,0.040515417,0.107700493,0,0,0.050229366,0.025332141,0.053269428,0.019807226,0.068885139,0.02607888,0,0.044174643,0,0.009658095,0.001370176
TCGA-DD-A113-01A,cancer,0.06054549,0,0.033462883,0.156510738,0,0.12747368,0,0.015524358,0.124645558,0,0,0.055173332,0.012437868,0.237182955,0.03460485,0.119637737,0,0,0.022800552,0,0,0
TCGA-DD-A114-01A,cancer,0.042353403,0,0.030012191,0.166646884,0,0.228896124,0.04354521,0.006406039,0.101853903,0,0.036989726,0,0.050991599,0.133872816,0.053205608,0.052005463,0.025779149,0,0.027441885,0,0,0
TCGA-DD-A116-01A,cancer,0.078425313,0,0.032277881,0.076772203,0,0.12800633,0.047960387,0,0.144035175,0,0.09808385,0,0.009615894,0.164919349,0.040035042,0.167807594,0,0,0.012060982,0,0,0
TCGA-DD-A118-01A,cancer,0.081926997,0,0,0.082310361,0,0.185035829,0.016324371,0,0.038290779,0.012738238,0.008265638,0.009238811,0.035332212,0.16157809,0.043639928,0.297615035,0,0,0.027703708,0,0,0
TCGA-DD-A119-01A,cancer,0.078125966,0,0.020987701,0.149742513,0,0.162134432,0,0,0.053168403,0.009928275,0,0.05078892,0.003295764,0.22334372,0.017510567,0.171141367,0.037856279,0,0.021976094,0,0,0
TCGA-DD-A11A-01A,cancer,0.120452025,0,0,0.203438762,0,0.034717346,0,0.013427282,0.0518988,0,0.030191773,0.042304883,0.081201049,0.2510026,0.024581054,0.132227752,0,0,0.014556673,0,0,0
TCGA-DD-A11B-01A,cancer,0.075554748,0,0,0.071712006,0,0.283081002,0,0,0.079481294,0,0.020351576,0.035657304,0.060883608,0.080454067,0.027063409,0.211284753,0,0.020301239,0.034174995,0,0,0
TCGA-DD-A11C-01A,cancer,0.055670588,0,0,0.100737055,0,0.41092327,0,0,0.007664,0,0.024198368,0.037408585,0.030225021,0.036828157,0.043271972,0.198608146,0,0,0.054464838,0,0,0
TCGA-DD-A11D-01A,cancer,0.034406756,0,0,0.048561111,0,0.275880749,0,0,0.111382309,0,0,0.082608858,0.011676246,0.104718614,0.049401213,0.250257942,0.009210056,0,0.021896147,0,0,0
